# symbol: AAPL
timeZone=America/New_York
date,time,open,high,low,close,volume
20150505,040000,128.15,128.45,125.78,125.8,48558556
20150506,040000,126.56,126.75,123.36,125.01,71773616
20150507,040000,124.77,126.08,124.02,125.26,42348848
20150508,040000,126.68,127.62,126.11,127.62,55529276
20150511,040000,127.39,127.56,125.625,126.32,40008152
20150512,040000,125.6,126.88,124.82,125.865,45918244
20150513,040000,126.15,127.19,125.87,126.01,33855776
20150514,040000,127.41,128.95,127.16,128.95,43841572
20150515,040000,129.07,129.49,128.21,128.77,37816312
20150518,040000,128.38,130.72,128.36,130.19,48812496
20150519,040000,130.69,130.88,129.64,130.07,44273524
20150520,040000,130.0,130.98,129.34,130.06,35942564
20150521,040000,130.07,131.63,129.83,131.39,39297340
20150522,040000,131.6,132.97,131.4,132.54,44856872
20150526,040000,132.6,132.91,129.12,129.62,64447068
20150527,040000,130.34,132.26,130.05,132.045,45092268
20150528,040000,131.86,131.95,131.1,131.78,29462146
20150529,040000,131.23,131.45,129.9,130.28,46672856
20150601,040000,131.2,131.39,130.05,130.535,31312916
20150602,040000,129.86,130.655,129.32,129.96,33548716
20150603,040000,130.66,130.94,129.9,130.12,30255212
20150604,040000,129.58,130.58,128.91,129.36,37641728
20150605,040000,129.5,129.69,128.36,128.65,35052952
20150608,040000,128.9,129.21,126.83,127.8,52527636
20150609,040000,126.7,128.08,125.62,127.42,55515288
20150610,040000,127.92,129.34,127.85,128.88,38486348
20150611,040000,129.18,130.18,128.475,128.59,34931776
20150612,040000,128.185,128.33,127.11,127.17,36697452
20150615,040000,126.1,127.24,125.71,126.92,39118300
20150616,040000,127.03,127.85,126.37,127.6,31043984
20150617,040000,127.72,127.88,126.74,127.3,32670854
20150618,040000,127.23,128.31,127.22,127.88,35211672
20150619,040000,127.71,127.82,126.4,126.6,49048480
20150622,040000,127.49,128.06,127.08,127.61,32793124
20150623,040000,127.48,127.61,126.879,127.03,29950032
20150624,040000,127.21,129.8,127.12,128.11,54924244
20150625,040000,128.86,129.2,127.5,127.5,31798666
20150626,040000,127.67,127.99,126.51,126.75,37976984
20150629,040000,125.46,126.47,124.48,124.53,48849032
20150630,040000,125.57,126.12,124.86,125.425,43794408
20150701,040000,126.9,126.94,125.99,126.6,30028056
20150702,040000,126.43,126.69,125.77,126.44,26794982
20150706,040000,124.94,126.23,124.85,126.0,27844082
20150707,040000,125.89,126.15,123.77,125.69,46686380
20150708,040000,124.48,124.64,122.54,122.57,60291168
20150709,040000,123.85,124.06,119.22,120.07,77367200
20150710,040000,121.94,123.85,121.21,123.28,60995676
20150713,040000,124.95,125.755,124.32,125.66,36893160
20150714,040000,126.04,126.37,125.04,125.61,30611332
20150715,040000,125.72,127.15,125.58,126.82,33082062
20150716,040000,127.74,128.57,127.35,128.51,34874956
20150717,040000,129.08,129.62,128.31,129.62,45638112
20150720,040000,130.97,132.97,130.7,132.07,54109236
20150721,040000,132.85,132.92,130.32,130.75,58670648
20150722,040000,121.99,125.5,121.99,125.22,114535848
20150723,040000,126.2,127.09,125.06,125.16,49883808
20150724,040000,125.32,125.74,123.9,124.5,41021612
20150727,040000,123.09,123.61,122.12,122.77,44233508
20150728,040000,123.38,123.91,122.55,123.38,33346468
20150729,040000,123.15,123.5,122.27,122.99,35337600
20150730,040000,122.32,122.57,121.71,122.37,31722846
20150731,040000,122.6,122.643,120.91,121.3,41840312
20150803,040000,121.5,122.57,117.52,118.44,69287824
20150804,040000,117.42,117.7,113.25,114.64,123109840
20150805,040000,112.95,117.44,112.1,115.4,98254704
20150806,040000,115.97,116.5,114.115,115.13,52522636
20150807,040000,114.58,116.25,114.5,115.52,38066976
20150810,040000,116.53,119.99,116.53,119.72,54369108
20150811,040000,117.81,118.18,113.33,113.49,95642640
20150812,040000,112.61,115.42,109.63,115.24,100644464
20150813,040000,116.04,116.4,114.54,115.15,47989640
20150814,040000,114.19,116.31,114.01,115.96,42638892
20150817,040000,116.04,117.65,115.5,117.16,40691480
20150818,040000,116.43,117.44,116.01,116.5,34430532
20150819,040000,116.1,116.52,114.68,115.01,47393372
20150820,040000,114.11,114.35,111.63,112.65,67627008
20150821,040000,110.41,111.9,105.645,105.76,126101696
20150824,040000,95.17,108.8,92.0,103.12,161237840
20150825,040000,111.07,111.11,103.5,103.74,102056992
20150826,040000,107.085,109.89,105.05,109.69,96088856
20150827,040000,112.23,113.24,110.02,112.92,83056016
20150828,040000,112.17,113.31,111.54,113.29,51957664
20150831,040000,112.03,114.53,112.0,112.76,55818892
20150901,040000,110.15,111.88,107.36,107.72,75779920
20150902,040000,110.23,112.34,109.131,112.34,61456220
20150903,040000,112.45,112.78,110.04,110.37,52325404
20150904,040000,108.97,110.45,108.51,109.27,49370024
20150908,040000,111.65,112.56,110.32,112.31,53915724
20150909,040000,113.76,114.02,109.77,110.15,84254432
20150910,040000,110.27,113.283,109.9,112.57,62267876
20150911,040000,111.79,114.21,111.76,114.21,49380376
20150914,040000,116.58,116.89,114.86,115.31,57795492
20150915,040000,115.93,116.53,114.42,116.28,42897720
20150916,040000,116.25,116.54,115.44,116.41,36896176
20150917,040000,115.79,116.49,113.715,113.92,63013724
20150918,040000,112.21,114.3,111.87,113.45,68464736
20150921,040000,113.67,115.37,113.66,115.21,45478892
20150922,040000,113.38,114.18,112.52,113.4,49721344
20150923,040000,113.63,114.72,113.3,114.32,35549888
20150924,040000,113.25,115.5,112.37,115.0,49555864
20150925,040000,116.44,116.69,114.02,114.71,55710956
20150928,040000,113.85,114.57,112.44,112.44,50671200
20150929,040000,112.83,113.51,107.86,109.06,72551104
20150930,040000,110.17,111.54,108.73,110.3,65855136
20151001,040000,109.07,109.62,107.31,109.58,63352876
20151002,040000,108.01,111.014,107.55,110.38,57269336
20151005,040000,109.88,111.37,109.07,110.78,51702496
20151006,040000,110.63,111.74,109.765,111.31,48391544
20151007,040000,111.74,111.77,109.41,110.78,46589156
20151008,040000,110.19,110.19,108.21,109.5,61188608
20151009,040000,110.0,112.28,109.49,112.12,51847168
20151012,040000,112.73,112.75,111.44,111.6,30058216
20151013,040000,110.82,112.45,110.68,111.79,31843044
20151014,040000,111.29,111.52,109.56,110.21,44169252
20151015,040000,110.96,112.1,110.49,111.86,37318948
20151016,040000,111.87,112.0,110.53,111.04,37668568
20151019,040000,110.8,111.75,110.11,111.73,29318716
20151020,040000,111.34,114.17,110.82,113.77,48758212
20151021,040000,114.0,115.58,113.7,113.76,41733176
20151022,040000,114.33,115.5,114.1,115.5,41007136
20151023,040000,116.7,119.228,116.33,119.08,58237136
20151026,040000,118.08,118.13,114.92,115.28,65967988
20151027,040000,115.4,116.54,113.99,114.55,57725776
20151028,040000,116.99,119.3,116.06,119.27,84796064
20151029,040000,118.7,120.69,118.27,120.53,49948816
20151030,040000,120.99,121.22,119.45,119.5,48522708
20151102,050000,119.87,121.36,119.61,121.18,31744040
20151103,050000,120.79,123.49,120.7,122.57,45205252
20151104,050000,123.13,123.82,121.62,122.0,44315024
20151105,050000,121.85,122.69,120.18,120.92,38463364
20151106,050000,121.11,121.81,120.62,121.06,32631946
20151109,050000,120.96,121.81,120.05,120.57,32570516
20151110,050000,116.9,118.07,116.061,116.77,58582976
20151111,050000,116.37,117.42,115.21,116.11,45076280
20151112,050000,116.26,116.82,115.65,115.72,31722712
20151113,050000,115.2,115.57,112.27,112.34,45029880
20151116,050000,111.38,114.24,111.0,114.175,37160096
20151117,050000,114.92,115.05,113.32,113.69,27240844
20151118,050000,115.76,117.49,115.5,117.29,45646516
20151119,050000,117.64,119.75,116.76,118.78,42085640
20151120,050000,119.2,119.92,118.85,119.3,33984208
20151123,050000,119.4,119.73,117.34,117.75,31986390
20151124,050000,117.33,119.35,117.12,118.88,42401732
20151125,050000,119.21,119.23,117.92,118.03,21315320
20151127,050000,118.29,118.41,117.6,117.81,12162869
20151130,050000,117.99,119.41,117.75,118.3,37429500
20151201,050000,118.75,118.81,116.86,117.34,34646996
20151202,050000,117.05,118.11,116.08,116.28,31813378
20151203,050000,116.55,116.79,114.22,115.2,41388000
20151204,050000,115.29,119.25,115.11,119.03,56436432
20151207,050000,118.98,119.86,117.81,118.28,31600796
20151208,050000,117.5,118.6,116.86,118.23,33817824
20151209,050000,117.64,117.69,115.08,115.62,44532012
20151210,050000,116.04,116.94,115.51,116.17,28971016
20151211,050000,115.19,115.39,112.851,113.18,46497912
20151214,050000,112.18,112.68,109.79,112.48,63389512
20151215,050000,111.94,112.8,110.35,110.49,51928560
20151216,050000,111.09,111.99,108.8,111.34,55668544
20151217,050000,112.02,112.25,108.98,108.98,44149100
20151218,050000,108.91,109.52,105.81,106.03,91531512
20151221,050000,107.28,107.37,105.57,107.33,43145968
20151222,050000,107.4,107.72,106.451,107.23,31486696
20151223,050000,107.27,108.85,107.2,108.61,32429746
20151224,050000,108.95,109.0,107.95,108.03,13443614
20151228,050000,107.59,107.69,106.181,106.82,26580162
20151229,050000,106.88,109.43,106.86,108.74,30814440
20151230,050000,108.58,108.7,107.18,107.32,24056118
20151231,050000,107.01,107.03,104.82,105.26,39936248
